theme,example_responses
Availability / access,"['Decent coverage, lacks mobile payment via apple pay and safety is a turndown for me', 'I typically use LINK whenever possible because it is easiest and fastest. However, LINK only services a very limited area of Seattle. Metro can get you anywhere, but it will take forever.', 'Not enough coverage for light rails. Unsafe bus environment.']"
Convenience / speed,"['Buses are convenient but can be off schedule sometimes', 'because the system is generally well-designed and easy to navigate compared to many other U.S. cities. However, there are still occasional unpredictable delays, so I often need to keep checking my phone or the app for real-time updates.', 'Convenient but unclean']"
Cost / pricing,"['The bus is always late, the scooters don’t work at uw or too slow and charge way too much. Dk where to park them either, if they have a good parking spot it would be good.', ""I use the light rail to go to school; it isn't too bad, but I have had some bad experiences due to other passengers harassing me. Otherwise, it is fine."", 'I dont take public transportation every day, but when i do i feel that it is safe and reliable mostly. (Frequently late but not terrible)']"
Lack of familiarity / skill,"[""I haven't used it since I got a car, but I used to use the bikes often for trips between .75 miles and 2ish miles"", 'never learned how to ride a bike lol', 'not familiar with it. I need to process some apps and make payment. also walk is kind of cardio for me']"
Other / unclear,"['It is Ok', 'just soso', 'I love public transit (the bus or the link) but it still takes a long time.']"
Parking / pickup / dropoff,"['The bus is always late, the scooters don’t work at uw or too slow and charge way too much. Dk where to park them either, if they have a good parking spot it would be good.', 'I use lime bikes ALL THE TIME to go even 4-5 miles away. I use them to go to school, or to go to an even downtown where parking is impossible or really expensive.', 'Parking experience, Payment / pricing, Limited vehicle accessibility']"
Payment / app friction,"['Decent coverage, lacks mobile payment via apple pay and safety is a turndown for me', 'because the system is generally well-designed and easy to navigate compared to many other U.S. cities. However, there are still occasional unpredictable delays, so I often need to keep checking my phone or the app for real-time updates.', ""My commute by bus is approximately 15 minutes door-to-door. It's on the E-line which comes frequently.""]"
Preference for other transportation,"[""I drive to campus, so I don't take the public transportation often"", 'I drive for work and school for 99% time of my commute time.', 'I walk to work']"
Reliability / schedule,"['Buses are convenient but can be off schedule sometimes', 'The bus is always late, the scooters don’t work at uw or too slow and charge way too much. Dk where to park them either, if they have a good parking spot it would be good.', 'because the system is generally well-designed and easy to navigate compared to many other U.S. cities. However, there are still occasional unpredictable delays, so I often need to keep checking my phone or the app for real-time updates.']"
Safety concerns,"['Decent coverage, lacks mobile payment via apple pay and safety is a turndown for me', 'safety concerns, punctuality', 'Not enough coverage for light rails. Unsafe bus environment.']"
Vehicle condition,"['The bus is always late, the scooters don’t work at uw or too slow and charge way too much. Dk where to park them either, if they have a good parking spot it would be good.', ""They're often dirty and/or in need of service."", 'Vehicle maintenance / condition, Payment / pricing']"
