Timestamp,How old are you?,What's your gender?,What's your occupation?,Which area do you live in around Seattle?,Do you own a car?,"How would you rate your daily commute experience using public transportation? 
(1 = Very poor 5 = Excellent) ","Why did you give this rating?
(Short answer)",Have you ever ridden shared e-scooters or e-bikes?  ,Which have you used?  ,When do you usually use it? (Short answer),Why do you use it? (Please briefly decribe the situation),"How would you rate your overall riding experience?
(1 = Very poor 5 = Excellent)  ",Why did you give this rating?(Short answer),Are you planning to continue using e-scooters / e-bikes?  ,Why are you continue using them? (Short answer),Pick up top 3 areas you think need improvement:  ,Why are you not going to use them? (Short answer),How do you usually commute? (Short answer),Why have you not used shared e-scooters or e-bikes? (Short answer) 
10/15/2025 13:57:20,18 - 24,Female,Student,uvill,No,4,Buses are convenient but can be off schedule sometimes ,No,,,,,,,,,,Bus,I don’t feel safe on it
10/15/2025 13:59:54,18 - 24,Male,Part-time,Northgate ,Yes,2,"The bus is always late, the scooters don’t work at uw or too slow and charge way too much. Dk where to park them either, if they have a good parking spot it would be good. ",Yes,Both,When I need to go somewhere fast,I need to go somewhere fast but can’t drive ,1,New York e-bikes r way better,No,,"Parking experience, Payment / pricing, Limited vehicle accessibility",Too expensive for the experience even with the pass,,
10/15/2025 14:02:46,25 -34,Male,Full-time employee,Ballard,Yes,3,"Decent coverage, lacks mobile payment via apple pay and safety is a turndown for me",Yes,Both,When I lived in Cap Hill and need to commute to UW Area,Last Mile Commute ,3,"It's fine, road safety in inclement weather is worrying tho",No,,"Vehicle maintenance / condition, Payment / pricing",I have a car now,,
10/15/2025 14:02:53,18 - 24,Female,Student,University District,No,4,"because the system is generally well-designed and easy to navigate compared to many other U.S. cities. However, there are still occasional unpredictable delays, so I often need to keep checking my phone or the app for real-time updates.",No,,,,,,,,,,bus in ud! and link to downtown,never learned how to ride a bike lol
10/15/2025 14:03:58,18 - 24,Male,Student,UD,Yes,4,It is Ok,No,,,,,,,,,,walk,not familiar with it. I need to process some apps and make payment. also walk is kind of cardio for me
10/15/2025 14:04:23,18 - 24,Female,Student,university district,No,3,just soso,No,,,,,,,,,,myself scooter,because I have myself scooter
10/15/2025 14:05:04,18 - 24,Female,Student,Udistrict ,No,3,Convenient but unclean ,No,,,,,,,,,,Take friend’s car,"I don’t know how to ride a bike, also they are quite expensive, does not look safe and it’s cold in the winter "
10/15/2025 14:06:23,18 - 24,Female,Student,U district ,No,4,Reliable ,No,,,,,,,,,,Bus,Safety concerns 
10/15/2025 14:07:06,18 - 24,Female,Student,98105,No,2,Not convenient ,No,,,,,,,,,,Walk,Dangerous 
10/15/2025 14:07:40,18 - 24,Female,Student,uv,No,2,bus always not on time,No,,,,,,,,,,by bus,too dangerous 
10/15/2025 14:17:48,35 - 44,Female,Student,Phinney Ridge,Yes,3,I love public transit (the bus or the link) but it still takes a long time.,Yes,E-bikes,"I use lime bikes ALL THE TIME to go even 4-5 miles away. I use them to go to school, or to go to an even downtown where parking is impossible or really expensive.","It's a great way to get some sunlight, not be stuck in a car, feel energized and then when I get to my destination I can just leave the bike anywhere.",5,I just love lime bikes so much. And I'm really grateful we have them here.,Yes,"I will continue to use lime bikes because it is a fun, fast, convenient way to get around the city.","Finding available vehicles, App interface / ease of use, Vehicle maintenance / condition, Parking experience, Payment / pricing, Aesthetics / design of the vehicle, Online customer service, Limited vehicle accessibility",,,
10/15/2025 14:22:00,45+,Male,Full-time employee,Downtown,No,3,"I typically use LINK whenever possible because it is easiest and fastest. However, LINK only services a very limited area of Seattle. Metro can get you anywhere, but it will take forever. ",Yes,Both,When I'm traveling less than 2 miles,"Typically, when I'm in a hurry and don't want to wait for LINK. ",2,They're often dirty and/or in need of service. ,Yes,"Because they fill a void in Seattle available inner-city transportation options. I ride them when LINK and Metro services aren't sufficient, and unfortunately that is often. ","Following traffic regulations, Vehicle maintenance / condition, Parking experience",,,
10/15/2025 14:24:49,18 - 24,Female,Student,UD,No,4,homeless,Yes,E-scooters,class time,school,4,too cold,Yes,fast,"Finding available vehicles, Payment / pricing",,,
10/15/2025 14:37:40,18 - 24,Female,Student,near uw,Yes,3,Public transportation is too messy,Yes,E-scooters,everyday ,Daily commute to class,2,I lost 3 of my scooter already ,No,,"Parking experience, Payment / pricing, Online customer service",Hard to keep it safe.,,
10/15/2025 14:49:43,18 - 24,Female,Student,uv,Yes,1,Bus time so chaos,Yes,E-scooters,When there's no bus or easier to scoot than drive. ,When my distane is chaper for schooter than uber and also I'm familiar with route. ,3,It is kind of powerful and fast but cold on the way. Also it can b cheaper and more affordable.,Yes,"When the distance is too far to walk, to close to drive and tims is sensitive","Vehicle maintenance / condition, Payment / pricing, Limited vehicle accessibility",,,
10/15/2025 16:06:38,18 - 24,Female,Student,U district,No,4,"there are several alternative routes that I can use and the intervals are quite short, so the wait is usually not too long",No,,,,,,,,,,"Bus, night ride","am usually tired by the time I do need to take the transit and I live quite close to campus, so I usually go for the bus"
10/15/2025 16:07:38,18 - 24,Female,Student,SLU,No,2,"safety concerns, punctuality",No,,,,,,,,,,bus,"not sure where they are, where i can drop them off, and it doesn't feel safe"
10/15/2025 16:15:19,18 - 24,Female,Student,ud,No,2,never on time,Yes,E-scooters,everyday,Go for class,3,Seattle’s road is just bad asf,Yes,Super easy access and no traffic,"Finding available vehicles, Payment / pricing, Limited vehicle accessibility",,,
10/15/2025 16:29:17,18 - 24,Female,Student,u district,No,4,Sometimes bus is too crowded,No,,,,,,,,,,Walk/bus,I don't know how to ride
10/15/2025 16:31:39,18 - 24,Male,Student,Campus area,Yes,1,Waiting time too long,Yes,Both,I don't really use it,For fun,5,NO specific reason,No,,"Finding available vehicles, Payment / pricing, Limited vehicle accessibility",Because I have a car,,
10/15/2025 16:42:03,35 - 44,Non-binary,Student,West Seattle,Yes,1,"There are very little options in West Seattle, takes way too long to get anywhere via public transit",Yes,Both,Short distances,Easy way to travel shorter distances that i don't want to walk to or as fun,4,"Haven't had any major issues, however safety is a vital concern of mine. I have personal experience with a bad accident on an e-bike and now makes me nervous to use them.",No,,"App interface / ease of use, Vehicle maintenance / condition, Other (please specify)",I find the lack of access to helmets and other safety parameters to be a big deterrent. Most of the time my usage has been spontaneous and often do not have a helmet with me.  ,,
10/15/2025 17:14:42,18 - 24,Female,Student,U-Village,No,4,"Overall, the public transportation in Seattle has been pretty convenient, but I very much dislike how often the buses get delayed.",Yes,E-scooters,I used it on campus in undergrad,"My undergrad campus was pretty big, so trying to get across campus by walking takes a really long time",2,I was not good at riding the e-scooter (extremely bad at balancing) and needed to get on the back of my friend's e-scooter.,No,,"How to operate the vehicle, Payment / pricing","I have really bad balance on e-scooters and it's more of a hassle for me to use over just walking, even if it takes longer.",,
10/15/2025 19:17:46,18 - 24,Female,Student,"North of Seattle, Bothell",Yes,2,"I drive to campus, so I don't take the public transportation often",No,,,,,,,,,,Car,I do not like how there are very little regulations around them
10/15/2025 19:57:27,18 - 24,Female,Student,Udistrict,No,4,I wish I could get places faster and/or not have to wait for buses so long. Also buses run late constantly and I get worried if I missed it or not,No,,,,,,,,,,walk or bus or light rail,they're actually pretty expensive. It would be more cost-effective to buy a bike but I haven't gotten around to that yet. I can also get most places in a reasonable time frame walking or busing. I also should exercise lol
10/15/2025 20:13:42,25 -34,Male,Student,Capitol Hill,No,3,Not enough coverage for light rails. Unsafe bus environment.,Yes,Both,Everytime I need to travel between 2 - 20min,Faster commute and easier route planning. Also I could enjoy the breeze and get some outdoor time.,5,Reasons as why I use it.,Yes,Lime has the monthly pass I rely on often.,"App interface / ease of use, Vehicle maintenance / condition, Payment / pricing",,,
10/15/2025 22:01:44,25 -34,Male,Full-time employee,Lynnwood,Yes,1,I drive for work and school for 99% time of my commute time.,Yes,Both,"when i didn't owe a car, I took bike rides for commuting purposes.",I biked to school and work place when I lived in DT area.,3,It’s great overall. But I have riding safety concern sometimes.,No,,"Following traffic regulations, Vehicle maintenance / condition, Other (please specify)",My commute distance is too far right now. Over 15 miles.,,
10/15/2025 22:15:53,25 -34,Female,Student,U- District,No,4,Very convenient,No,,,,,,,,,,Walk and take a bus ,I feel unsafe because there are many car on the road and most of scooters doesn’t look clean 
10/15/2025 23:21:34,25 -34,Female,Full-time employee and student,Federal Way,Yes,3,"I use the light rail to go to school; it isn't too bad, but I have had some bad experiences due to other passengers harassing me. Otherwise, it is fine.",No,,,,,,,,,,Carpool and light rail,I just never had a need or a chance to use them
10/16/2025 8:29:01,25 -34,Female,Student,Bellevue,Yes,3,I don’t take it often but when I do it’s fine,No,,,,,,,,,,Car,Dangerous and idk how to use them
10/16/2025 11:58:49,18 - 24,Female,Student,U district,No,3,Convenient but wait too long,Yes,Both,Hanging out with friends ,Convenience and. Speed,4,Pretty fun actually but cold in winter,Yes,Not a bad way to go some place using shared bike/ scooter. I prefer use them rather walk,"How to operate the vehicle, Vehicle maintenance / condition, Payment / pricing",,,
10/16/2025 17:54:42,25 -34,Male,Full-time Employee/Part-time student,Bothell,Yes,3,Haven't really used it since I depend on my car. Although the general road network out here is quite idiotic. ,Yes,Both,"sparingly, in a hurry on campus",when I'm in a hurry ,4,It would be nice if the phone holders were actually well fitted rather than you having to hold and guess how to navigate campus while using the e-bike.,Yes,Convenient and fun. ,"Parking experience, Payment / pricing, Aesthetics / design of the vehicle",,,
10/16/2025 18:54:47,18 - 24,Female,Student,East Greenlake,Yes,5,it only takes about 10 minutes to arrive at campus.,Yes,E-scooters,Before I owned my car,i was running late for classes,4,"It was fast and not easily got stuck by traffic, but it was sometimes hard to find the available scooter near my apartment. ",No,,"Finding available vehicles, App interface / ease of use, Vehicle maintenance / condition",I prefer to walk as workout,,
